    JOBID     USER PARTITION     NAME ST   START_TIME     END_TIME TIME_LEFT  NODES NODELIST(REASON)  PRIORITY
  1493313   stud47      slim   run.sh PD     21:53:00     22:03:00     10:00      4     (Resources)     19346
  1493320   stud07      slim       sh PD     21:57:06     22:57:06   1:00:00      1      (Priority)     18854
  1491360   stud01      slim power.sh PD     22:24:40     22:44:40     20:00      3      (Priority)     17874
  1493314   stud23      slim       sh PD     22:01:59     23:01:59   1:00:00      1      (Priority)     17694
  1493318   stud30      slim project_ PD     22:05:20 Tomorr 03:05   5:00:00      4      (Priority)     17614
  1493291  stud113      slim       sh PD     22:44:00     23:44:00   1:00:00      1      (Priority)     17245
  1493294  stud113      slim       sh PD     22:44:00     23:44:00   1:00:00      1      (Priority)     17245
  1493316   stud34      slim run_perf PD     22:03:00     23:03:00   1:00:00      1      (Priority)     15961
  1490031   stud25      slim strongSc PD          N/A          N/A     59:00     32 (PartitionNodeL     15562
  1493309   stud25      slim strongSc PD     23:28:19 Tomorr 00:27     59:00      8      (Priority)     15336
  1490156 kopanica    bigMem   Smiley PD Tomorr 20:21    Fri 20:21 1-00:00:00      1     (Resources)      1715
  1490157 kopanica    bigMem   Smiley PD Tomorr 20:21    Fri 20:21 1-00:00:00      1      (Priority)      1715
  1490158 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490159 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490160 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490161 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490162 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490163 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490164 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490165 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490166 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490167 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490168 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490169 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490170 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490171 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490172 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490173 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490174 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490175 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490176 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490177 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490178 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490179 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490180 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490181 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490182 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490183 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490184 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490185 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490186 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490187 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490188 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490189 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490190 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490191 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490192 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490193 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490194 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490195 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490196 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490197 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490198 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490199 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490200 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490201 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490202 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
