Grid Size,Threads,Time,Ranks
128,1,1.17413,1
256,1,8.21557,1
512,1,67.9585,1
1024,1,693.377,1
128,2,0.64113,1
256,2,4.19676,1
512,2,31.9962,1
1024,2,352.993,1
128,3,0.472275,1
256,3,2.98838,1
512,3,22.3241,1
1024,3,264.676,1
128,4,0.381573,1
256,4,2.25343,1
512,4,17.0588,1
1024,4,223.969,1
128,5,0.347749,1
256,5,1.99587,1
512,5,14.1683,1
1024,5,203.856,1
128,6,0.323895,1
256,6,1.64013,1
512,6,12.1209,1
1024,6,188.533,1
128,7,0.320323,1
256,7,1.4599,1
512,7,10.6854,1
1024,7,187.327,1
128,8,0.304369,1
256,8,1.3137,1
512,8,9.23196,1
1024,8,181.223,1
128,9,0.306425,1
256,9,1.24488,1
512,9,8.73531,1
1024,9,173.145,1
128,10,0.605926,1
256,10,1.82086,1
512,10,8.12011,1
1024,10,175.65,1
128,1,1.07131,2
256,1,5.11032,2
512,1,32.4279,2
1024,1,742.799,2
128,2,165.835,2
256,2,393.015,2
512,2,809.939,2
1024,2,1765.6,2
128,3,119.547,2
256,3,334.639,2
512,3,1255.39,2
1024,3,127.62,2
128,4,0.872752,2
256,4,2.5683,2
512,4,11.9962,2
1024,4,110.454,2
128,5,1.59162,2
256,5,3.34947,2
512,5,15.4556,2
1024,5,133.154,2
128,6,4.43301,2
256,6,70.8007,2
512,6,137.843,2
1024,6,100.38,2
128,7,0.574415,2
256,7,1.81544,2
512,7,8.74255,2
1024,7,117.264,2
128,8,0.555128,2
256,8,1.58955,2
512,8,7.80282,2
1024,8,1638.69,2
128,9,249.989,2
256,9,397.939,2
512,9,721.407,2
1024,9,2712.03,2
128,10,233.188,2
256,10,710.337,2
512,10,792.855,2
1024,10,1490.93,2
128,1,1.17274,4
256,1,3.65768,4
512,1,19.3713,4
1024,1,566.407,4
128,2,64.8384,4
256,2,5.31123,4
512,2,151.914,4
1024,2,1442.51,4
128,3,367.898,4
256,3,85.3297,4
512,3,58.1649,4
1024,3,2378.36,4
128,4,86.1693,4
256,4,173.82,4
512,4,353.722,4
1024,4,1536.05,4
128,5,164.656,4
256,5,234.311,4
512,5,408.422,4
1024,5,884.795,4
128,6,46.5614,4
256,6,82.5922,4
512,6,94.0636,4
1024,6,376.043,4
128,7,35.038,4
256,7,62.7856,4
512,7,270.816,4
1024,7,495.953,4
128,8,32.2927,4
256,8,60.4111,4
512,8,174.128,4
1024,8,418.648,4
128,9,0.962708,4
256,9,3.43768,4
512,9,5.01953,4
1024,9,24.4669,4
128,10,1.25658,4
256,10,4.43882,4
512,10,5.42705,4
