Grid Size,Threads,Time,Ranks
128,1,0.905145,4
256,1,3.031,4
512,1,17.3836,4
1024,1,165.913,4
128,2,0.770188,4
256,2,2.11949,4
512,2,10.1035,4
1024,2,82.9419,4
128,3,0.747989,4
256,3,1.78922,4
512,3,7.68988,4
1024,3,58.1235,4
128,4,0.763022,4
256,4,1.75453,4
512,4,6.67883,4
1024,4,41.4122,4
128,5,0.74922,4
256,5,1.63342,4
512,5,5.70342,4
1024,5,34.697,4
128,6,0.725018,4
256,6,1.51994,4
512,6,5.2834,4
1024,6,30.5926,4
128,7,0.7579,4
256,7,1.47979,4
512,7,4.91001,4
1024,7,102.841,4
128,8,0.727764,4
256,8,1.5069,4
512,8,4.7082,4
1024,8,222.637,4
128,9,16.6708,4
256,9,1.51057,4
512,9,139.948,4
1024,9,23.8693,4
128,10,245.82,4
256,10,483.366,4
512,10,1000.01,4
1024,10,1721.4,4
128,1,1.40515,2
256,1,5.98547,2
512,1,37.8254,2
1024,1,402.444,2
128,2,1.63566,2
256,2,8.1271,2
512,2,49.4853,2
1024,2,344.099,2
128,3,2.01224,2
256,3,6.84436,2
512,3,36.0759,2
1024,3,325.233,2
128,4,2.04313,2
256,4,6.93272,2
512,4,36.6188,2
1024,4,315.632,2
128,5,2.36408,2
256,5,7.50089,2
512,5,38.2696,2
1024,5,319.695,2
128,6,2.63528,2
256,6,8.01416,2
512,6,39.1782,2
1024,6,325.895,2
128,7,2.91064,2
256,7,8.58632,2
512,7,40.4054,2
1024,7,326.712,2
128,8,3.25827,2
256,8,9.0875,2
512,8,41.654,2
1024,8,338.739,2
128,9,3.51888,2
256,9,9.68069,2
512,9,42.5612,2
1024,9,346.311,2
128,10,3.81782,2
256,10,10.1995,2
512,10,44.0788,2
1024,10,349.187,2
128,1,1.62076,1
256,1,9.45494,1
512,1,79.671,1
1024,1,770.689,1
128,2,1.54464,1
256,2,8.95187,1
512,2,64.159,1
1024,2,676.545,1
128,3,1.89398,1
256,3,9.69974,1
512,3,65.9403,1
1024,3,675.386,1
128,4,2.17224,1
256,4,10.1421,1
512,4,66.5805,1
1024,4,687.669,1
128,5,2.50008,1
256,5,10.8328,1
512,5,68.4501,1
1024,5,702.844,1
128,6,2.79157,1
256,6,11.3279,1
512,6,71.5665,1
1024,6,699.474,1
128,7,3.10272,1
256,7,11.8154,1
512,7,76.6015,1
1024,7,704.155,1
128,8,3.38185,1
256,8,12.2643,1
512,8,74.7189,1
1024,8,700.352,1
128,9,3.6815,1
256,9,12.8449,1
512,9,78.5684,1
1024,9,699.025,1
128,10,3.92654,1
256,10,13.2523,1
512,10,72.4399,1
1024,10,800.302,1
