Grid Size,Processes,Time,Rate
209,1,4.304725852794945,584.4739214615554
295,2,5.851475003873929,576.4358555350451
362,3,7.225563592044637,559.9563201484596
418,4,8.078167934902012,571.0453208170344
467,5,8.98167154402472,568.1570490511755
512,6,9.975934277987108,557.4415232737549
553,7,10.603332313941792,562.6533077866102
591,8,11.51762947300449,551.8496679284103
627,9,12.868912928039208,521.1784427716943
660,10,13.564209786010906,519.381527648273
693,11,15.279496798058972,482.4111747538946
724,12,16.448344334959984,466.61231329449015
753,13,18.15296334703453,438.71624966956153
782,14,18.550059186061844,445.605047244858
809,15,21.052430900977924,405.2263627001725
836,16,23.58164666686207,374.0620883950247
