Grid Size,Processes,Time,Rate
64,1,0.0379881,26508.3
128,1,0.233592,6464.27
256,1,1.61329,1722.57
512,1,12.3444,434.042
1024,1,131.818,79.519
64,2,0.0205946,48896.3
128,2,0.116901,12942.6
256,2,0.810428,3430.28
512,2,6.1714,868.36
1024,2,69.8368,150.15
64,3,0.0910515,11059.7
128,3,0.103039,14693.4
256,3,0.569652,4887.19
512,3,4.06227,1318.23
1024,3,43.0088,244.252
64,4,0.0583488,17258.3
128,4,0.100047,15102.9
256,4,0.45966,6052.3
512,4,3.02448,1773.2
1024,4,30.7317,341.796
64,5,0.0871513,11554.6
128,5,0.114933,13172.9
256,5,0.40606,6853.66
512,5,2.48368,2157.69
1024,5,28.2256,371.046
64,6,0.080166,12561.4
128,6,0.124933,12094.5
256,6,0.343712,8096.9
512,6,2.09828,2555.91
1024,6,21.388,489.855
64,7,0.149364,6741.94
128,7,0.149076,10162.6
256,7,0.347434,7998.64
512,7,1.87591,2859.41
1024,7,21.5435,488.545
64,8,0.118266,8514.73
128,8,0.148425,10227.4
256,8,0.314258,8862.15
512,8,1.669,3210.31
1024,8,17.6879,595.886
64,9,0.182881,5506.32
128,9,0.203571,7422.48
256,9,0.335646,8294.44
512,9,1.53306,3500.85
1024,9,18.1328,579.115
64,10,0.151783,6634.47
128,10,0.156055,9695.29
256,10,0.314858,8854.78
512,10,1.39492,3845.38
1024,10,15.4006,683.612
64,11,0.216643,4648.19
128,11,0.224848,6728.99
256,11,0.331135,8395.36
512,11,1.40951,3798.48
1024,11,16.2096,647.456
64,12,0.168077,5991.29
128,12,0.231899,6511.45
256,12,0.333535,8346.94
512,12,1.33514,4012.31
1024,12,13.9068,758.766
64,13,0.259183,3885.28
128,13,0.338644,4464.87
256,13,0.346578,8032.82
512,13,1.30126,4118.31
1024,13,16.0076,656.437
64,14,0.174638,5766.22
128,14,0.261835,5782.27
256,14,0.34358,8085.46
512,14,1.1227,4774.21
1024,14,12.9698,806.642
64,15,0.325733,3091.49
128,15,0.295867,5120.55
256,15,0.330267,8426.52
512,15,1.12773,4755.57
1024,15,14.1683,739.183
64,16,0.291829,3450.65
128,16,0.310525,4862.74
256,16,0.409967,6790.79
512,16,1.10553,4852.89
1024,16,12.4703,845.37
64,17,0.309448,3254.19
128,17,0.268344,5627.1
256,17,0.336144,8273.25
512,17,1.10116,4871.24
1024,17,13.8942,753.621
64,18,0.321314,3134
128,18,0.313847,4824.01
256,18,0.399963,6960.65
512,18,1.02853,5210.34
1024,18,12.2049,863.341
64,19,0.32236,3123.83
128,19,0.364772,4136.83
256,19,0.440229,6321.71
512,19,1.44668,3705.71
1024,19,14.8847,703.809
64,20,0.395594,2545.54
128,20,0.318256,4750.9
256,20,0.478782,5810.58
512,20,1.01299,5289.27
1024,20,11.874,886.308
